Retailer,Retailer ID,Invoice Date,Month,Region,State,City,Product,Sales Method,Price per Unit,Units Sold,Total Sales,Operational Margin,Profit
Foot Locker,1185732,29-01-2020,January,Northeast,New York,New York,Men Apparel,Outlet,60.00,850,51000,3%,1530.00
Foot Locker,1185732,30-01-2020,January,Northeast,New York,New York, Women Apparel,Outlet,50.00,950,47500,3%,1187.50
Foot Locker,1185732,31-01-2020,January,Northeast,New York,New York,Men Street Footwear,Outlet,50.00,1200,60000,5%,3000.00
Foot Locker,1185732,01-02-2020,February,Northeast,New York,New York,Men Athletic Footwear,Outlet,50.00,900,45000,3%,1350.00
Foot Locker,1185732,02-02-2020,February,Northeast,New York,New York, Women Street Footwear,Outlet,40.00,900,36000,4%,1260.00
Foot Locker,1185732,03-02-2020,February,Northeast,New York,New York, Women Athletic Footwear,Outlet,45.00,825,37125,4%,1299.38
Foot Locker,1185732,04-02-2020,February,Northeast,New York,New York,Men Apparel,Outlet,60.00,825,49500,3%,1485.00
Foot Locker,1185732,05-02-2020,February,Northeast,New York,New York, Women Apparel,Outlet,50.00,950,47500,3%,1187.50
Foot Locker,1185732,06-02-2020,February,Northeast,New York,New York,Men Street Footwear,Outlet,60.00,1220,73200,5%,3660.00
Foot Locker,1185732,07-02-2020,February,Northeast,New York,New York,Men Athletic Footwear,Outlet,55.00,925,50875,3%,1526.25
Foot Locker,1185732,08-02-2020,February,Northeast,New York,New York, Women Street Footwear,Outlet,50.00,900,45000,4%,1575.00
Foot Locker,1185732,09-02-2020,February,Northeast,New York,New York, Women Athletic Footwear,Outlet,50.00,850,42500,4%,1487.50
Foot Locker,1185732,10-02-2020,February,Northeast,New York,New York,Men Apparel,Outlet,60.00,875,52500,3%,1575.00
Foot Locker,1185732,03-03-2020,March,Northeast,New York,New York, Women Apparel,Outlet,65.00,1000,65000,3%,1625.00
Foot Locker,1185732,04-03-2020,March,Northeast,New York,New York,Men Street Footwear,Outlet,60.00,1250,75000,5%,3750.00
Foot Locker,1185732,05-03-2020,March,Northeast,New York,New York,Men Athletic Footwear,Outlet,55.00,1000,55000,3%,1650.00
Foot Locker,1185732,06-03-2020,March,Northeast,New York,New York, Women Street Footwear,Outlet,50.00,925,46250,4%,1618.75
Foot Locker,1185732,07-03-2020,March,Northeast,New York,New York, Women Athletic Footwear,Outlet,50.00,900,45000,4%,1575.00
Foot Locker,1185732,08-03-2020,March,Northeast,New York,New York,Men Apparel,Outlet,60.00,900,54000,3%,1620.00
Foot Locker,1185732,09-03-2020,March,Northeast,New York,New York, Women Apparel,Outlet,65.00,1050,68250,3%,1706.25
Foot Locker,1185732,10-03-2020,March,Northeast,New York,New York,Men Street Footwear,Outlet,60.00,1275,76500,5%,3825.00
Foot Locker,1185732,11-03-2020,March,Northeast,New York,New York,Men Athletic Footwear,Outlet,55.00,1025,56375,3%,1691.25
Foot Locker,1185732,12-03-2020,March,Northeast,New York,New York, Women Street Footwear,Outlet,50.00,950,47500,4%,1662.50
Foot Locker,1185732,13-03-2020,March,Northeast,New York,New York, Women Athletic Footwear,Outlet,50.00,900,45000,4%,1575.00
Foot Locker,1185732,14-03-2020,March,Northeast,New York,New York,Men Apparel,Outlet,60.00,925,55500,3%,1665.00
Foot Locker,1185732,15-03-2020,March,Northeast,New York,New York, Women Apparel,Outlet,65.00,1100,71500,3%,1787.50
Foot Locker,1185732,16-03-2020,March,Northeast,New York,New York,Men Street Footwear,Outlet,60.00,1250,75000,5%,3750.00
Foot Locker,1185732,17-03-2020,March,Northeast,New York,New York,Men Athletic Footwear,Outlet,55.00,1025,56375,3%,1691.25
Foot Locker,1185732,18-03-2020,March,Northeast,New York,New York, Women Street Footwear,Outlet,50.00,950,47500,4%,1662.50
Foot Locker,1185732,31-03-2020,March,Northeast,New York,New York, Women Athletic Footwear,Outlet,50.00,925,46250,4%,1618.75
Walmart,1185732,17-04-2020,April,Northeast,New York,New York,Men Apparel,Outlet,60.00,900,54000,3%,1620.00
Walmart,1185732,18-04-2020,April,Northeast,New York,New York, Women Apparel,Outlet,65.00,1075,69875,3%,1746.88
Walmart,1185732,19-04-2020,April,Northeast,New York,New York,Men Street Footwear,Outlet,60.00,1200,72000,5%,3600.00
Walmart,1185732,20-04-2020,April,Northeast,New York,New York,Men Athletic Footwear,Outlet,55.00,1000,55000,3%,1650.00
Walmart,1185732,21-04-2020,April,Northeast,New York,New York, Women Street Footwear,Outlet,50.00,925,46250,4%,1618.75
Walmart,1185732,22-04-2020,April,Northeast,New York,New York, Women Athletic Footwear,Outlet,50.00,900,45000,4%,1575.00
Walmart,1185732,23-04-2020,April,Northeast,New York,New York,Men Apparel,Outlet,60.00,900,54000,3%,1620.00
Walmart,1185732,24-04-2020,April,Northeast,New York,New York, Women Apparel,Outlet,65.00,1000,65000,3%,1625.00
Walmart,1185732,25-04-2020,April,Northeast,New York,New York,Men Apparel,Outlet,65.00,875,56875,3%,1706.25
Walmart,1185732,26-04-2020,April,Northeast,New York,New York, Women Apparel,Outlet,70.00,1000,70000,3%,1750.00
Walmart,1185732,27-04-2020,April,Northeast,New York,New York,Men Street Footwear,Outlet,65.00,1150,74750,5%,3737.50
Walmart,1185732,28-04-2020,April,Northeast,New York,New York,Men Athletic Footwear,Outlet,55.00,975,53625,3%,1608.75
Walmart,1185732,29-04-2020,April,Northeast,New York,New York, Women Street Footwear,Outlet,55.00,920,50600,4%,1771.00
Walmart,1185732,30-04-2020,April,Northeast,New York,New York, Women Athletic Footwear,Outlet,55.00,900,49500,4%,1732.50
Walmart,1185732,01-05-2020,May,Northeast,New York,New York,Men Apparel,Outlet,65.00,875,56875,3%,1706.25
Walmart,1185732,02-05-2020,May,Northeast,New York,New York, Women Apparel,Outlet,70.00,975,68250,3%,1706.25
Walmart,1185732,03-05-2020,May,Northeast,New York,New York,Men Street Footwear,Outlet,65.00,1200,78000,5%,3900.00
Walmart,1185732,04-05-2020,May,Northeast,New York,New York,Men Athletic Footwear,Outlet,55.00,1000,55000,3%,1650.00
Walmart,1185732,05-05-2020,May,Northeast,New York,New York, Women Street Footwear,Outlet,55.00,950,52250,4%,1828.75
Walmart,1185732,06-05-2020,May,Northeast,New York,New York, Women Athletic Footwear,Outlet,55.00,900,49500,4%,1732.50
Walmart,1185732,07-05-2020,May,Northeast,New York,New York,Men Apparel,Outlet,65.00,900,58500,3%,1755.00
Walmart,1185732,18-07-2020,July,Northeast,New York,New York, Women Apparel,Outlet,70.00,1000,70000,3%,1750.00
Sports Direct,1197831,19-07-2020,July,Northeast,New York,New York,Men Street Footwear,Outlet,25.00,900,22500,4%,787.50
Sports Direct,1197831,20-07-2020,July,Northeast,New York,New York,Men Athletic Footwear,Outlet,35.00,900,31500,4%,1102.50
Sports Direct,1197831,21-07-2020,July,Northeast,New York,New York, Women Street Footwear,Outlet,35.00,700,24500,4%,857.50
Sports Direct,1197831,22-07-2020,July,Northeast,New York,New York, Women Athletic Footwear,Outlet,35.00,700,24500,5%,1102.50
Sports Direct,1197831,23-07-2020,July,South,Texas,Houston,Men Apparel,Outlet,40.00,550,22000,3%,660.00
Sports Direct,1197831,24-07-2020,July,South,Texas,Houston, Women Apparel,Outlet,35.00,700,24500,5%,1225.00
Sports Direct,1197831,25-07-2020,July,South,Texas,Houston,Men Street Footwear,Outlet,25.00,850,21250,4%,743.75
Sports Direct,1197831,26-07-2020,July,South,Texas,Houston,Men Athletic Footwear,Outlet,35.00,850,29750,4%,1041.25
Sports Direct,1197831,27-07-2020,July,South,Texas,Houston, Women Street Footwear,Outlet,35.00,675,23625,4%,826.88
Sports Direct,1197831,28-07-2020,July,South,Texas,Houston, Women Athletic Footwear,Outlet,35.00,625,21875,5%,984.38
Sports Direct,1197831,29-07-2020,July,South,Texas,Houston,Men Apparel,Outlet,40.00,500,20000,3%,600.00
Sports Direct,1197831,30-07-2020,July,South,Texas,Houston, Women Apparel,Outlet,35.00,700,24500,5%,1225.00
Sports Direct,1197831,31-07-2020,July,South,Texas,Houston,Men Street Footwear,Outlet,30.00,875,26250,4%,918.75
Sports Direct,1197831,01-08-2020,August,South,Texas,Houston,Men Athletic Footwear,Outlet,40.00,875,35000,4%,1225.00
Sports Direct,1197831,02-08-2020,August,South,Texas,Houston, Women Street Footwear,Outlet,35.00,700,24500,4%,857.50
Sports Direct,1197831,03-08-2020,August,South,Texas,Houston, Women Athletic Footwear,Outlet,40.00,600,24000,5%,1080.00
Sports Direct,1197831,04-08-2020,August,South,Texas,Houston,Men Apparel,Outlet,45.00,500,22500,3%,675.00
Sports Direct,1197831,05-08-2020,August,South,Texas,Houston, Women Apparel,Outlet,40.00,650,26000,5%,1300.00
Sports Direct,1197831,06-08-2020,August,South,Texas,Houston,Men Street Footwear,Outlet,30.00,900,27000,4%,945.00
Sports Direct,1197831,07-08-2020,August,South,Texas,Houston,Men Athletic Footwear,Outlet,40.00,900,36000,4%,1260.00
Sports Direct,1197831,08-08-2020,August,South,Texas,Houston, Women Street Footwear,Outlet,35.00,725,25375,4%,888.13
Sports Direct,1197831,09-08-2020,August,South,Texas,Houston, Women Athletic Footwear,Outlet,40.00,625,25000,5%,1125.00
Walmart,1197831,10-08-2020,August,South,Texas,Houston,Men Apparel,Outlet,45.00,525,23625,3%,708.75
Walmart,1197831,11-08-2020,August,South,Texas,Houston, Women Apparel,Outlet,40.00,800,32000,5%,1600.00
Walmart,1197831,12-08-2020,August,South,Texas,Houston,Men Street Footwear,Outlet,30.00,925,27750,4%,971.25
Walmart,1197831,13-08-2020,August,South,Texas,Houston,Men Athletic Footwear,Outlet,40.00,925,37000,4%,1295.00
Walmart,1197831,14-08-2020,August,South,Texas,Houston, Women Street Footwear,Outlet,35.00,775,27125,4%,949.38
Walmart,1197831,15-08-2020,August,South,Texas,Houston, Women Athletic Footwear,Outlet,40.00,700,28000,5%,1260.00
Walmart,1197831,16-08-2020,August,South,Texas,Houston,Men Apparel,Outlet,45.00,600,27000,3%,810.00
Walmart,1197831,17-08-2020,August,South,Texas,Houston, Women Apparel,Outlet,40.00,950,38000,5%,1900.00
Walmart,1197831,18-08-2020,August,South,Texas,Houston,Men Street Footwear,Outlet,40.00,950,38000,4%,1330.00
Walmart,1197831,19-08-2020,August,South,Texas,Houston,Men Athletic Footwear,Outlet,45.00,950,42750,4%,1496.25
Walmart,1197831,20-08-2020,August,South,Texas,Houston, Women Street Footwear,Outlet,40.00,800,32000,4%,1120.00
Walmart,1197831,21-08-2020,August,South,Texas,Houston, Women Athletic Footwear,Outlet,40.00,750,30000,5%,1350.00
Walmart,1197831,22-08-2020,August,South,Texas,Houston,Men Apparel,Outlet,45.00,650,29250,3%,877.50
Walmart,1197831,23-08-2020,August,South,Texas,Houston, Women Apparel,Outlet,50.00,1000,50000,5%,2500.00
Walmart,1197831,24-08-2020,August,South,Texas,Houston,Men Street Footwear,Outlet,40.00,950,38000,4%,1330.00
Walmart,1197831,25-08-2020,August,South,Texas,Houston,Men Athletic Footwear,Outlet,45.00,950,42750,4%,1496.25
Walmart,1197831,26-08-2020,August,South,Texas,Houston, Women Street Footwear,Outlet,40.00,1100,44000,4%,1540.00
Walmart,1197831,27-08-2020,August,South,Texas,Houston, Women Athletic Footwear,Outlet,40.00,700,28000,5%,1260.00
Walmart,1197831,28-08-2020,August,South,Texas,Houston,Men Apparel,Outlet,45.00,700,31500,3%,945.00
Walmart,1197831,29-08-2020,August,South,Texas,Houston, Women Apparel,Outlet,50.00,975,48750,5%,2437.50
Walmart,1197831,30-08-2020,August,South,Texas,Houston,Men Street Footwear,Outlet,40.00,925,37000,4%,1295.00
Walmart,1197831,31-08-2020,August,South,Texas,Houston,Men Athletic Footwear,Outlet,45.00,925,41625,4%,1456.88
Walmart,1197831,01-09-2020,September,South,Texas,Houston, Women Street Footwear,Outlet,40.00,1100,44000,4%,1540.00
Walmart,1197831,02-09-2020,September,South,Texas,Houston, Women Athletic Footwear,Outlet,40.00,650,26000,5%,1170.00
Walmart,1197831,03-09-2020,September,South,Texas,Houston,Men Apparel,Outlet,45.00,650,29250,3%,877.50
Walmart,1197831,04-09-2020,September,South,Texas,Houston, Women Apparel,Outlet,50.00,900,45000,5%,2250.00
Walmart,1197831,05-09-2020,September,South,Texas,Houston,Men Street Footwear,Outlet,45.00,850,38250,4%,1338.75
Walmart,1197831,06-09-2020,September,South,Texas,Houston,Men Athletic Footwear,Outlet,45.00,850,38250,4%,1338.75
Walmart,1197831,07-09-2020,September,South,Texas,Houston, Women Street Footwear,Outlet,50.00,900,45000,4%,1575.00
Walmart,1197831,08-09-2020,September,South,Texas,Houston, Women Athletic Footwear,Outlet,50.00,625,31250,5%,1406.25
Walmart,1197831,09-09-2020,September,South,Texas,Houston,Men Apparel,Outlet,45.00,625,28125,3%,843.75
Walmart,1197831,10-09-2020,September,South,Texas,Houston, Women Apparel,Outlet,55.00,850,46750,5%,2337.50
Walmart,1197831,11-09-2020,September,South,Texas,Houston,Men Street Footwear,Outlet,45.00,800,36000,4%,1260.00
Walmart,1197831,12-09-2020,September,South,Texas,Houston,Men Athletic Footwear,Outlet,45.00,800,36000,4%,1260.00
Walmart,1197831,13-09-2020,September,South,Texas,Houston, Women Street Footwear,Outlet,50.00,750,37500,4%,1312.50
Walmart,1197831,14-09-2020,September,South,Texas,Houston, Women Athletic Footwear,Outlet,50.00,600,30000,5%,1350.00
Walmart,1197831,15-09-2020,September,South,Texas,Houston,Men Apparel,Outlet,45.00,575,25875,3%,776.25
Walmart,1197831,16-09-2020,September,South,Texas,Houston, Women Apparel,Outlet,55.00,750,41250,5%,2062.50
Walmart,1197831,20-10-2020,October,South,Texas,Houston,Men Street Footwear,Outlet,45.00,900,40500,4%,1417.50
Walmart,1197831,21-10-2020,October,South,Texas,Houston,Men Athletic Footwear,Outlet,45.00,900,40500,4%,1417.50
Walmart,1197831,22-10-2020,October,South,Texas,Houston, Women Street Footwear,Outlet,50.00,825,41250,4%,1443.75
Walmart,1197831,23-10-2020,October,South,Texas,Houston, Women Athletic Footwear,Outlet,50.00,675,33750,5%,1518.75
Walmart,1197831,24-10-2020,October,South,Texas,Houston,Men Apparel,Outlet,45.00,650,29250,3%,877.50
Walmart,1197831,25-10-2020,October,South,Texas,Houston, Women Apparel,Outlet,55.00,850,46750,5%,2337.50
Walmart,1197831,26-10-2020,October,South,Texas,Houston,Men Street Footwear,Outlet,45.00,950,42750,4%,1496.25
Walmart,1197831,27-10-2020,October,South,Texas,Houston,Men Athletic Footwear,Outlet,45.00,950,42750,4%,1496.25
Walmart,1197831,28-10-2020,October,South,Texas,Houston, Women Street Footwear,Outlet,50.00,850,42500,4%,1487.50
Walmart,1197831,29-10-2020,October,South,Texas,Houston, Women Athletic Footwear,Outlet,50.00,700,35000,5%,1575.00
Walmart,1197831,30-10-2020,October,South,Texas,Houston,Men Apparel,Outlet,45.00,650,29250,3%,877.50
Walmart,1197831,31-10-2020,October,South,Texas,Houston, Women Apparel,Outlet,55.00,900,49500,5%,2475.00
West Gear,1128299,01-11-2020,November,South,Texas,Houston,Men Street Footwear,Outlet,40.00,775,31000,4%,1085.00
West Gear,1128299,02-11-2020,November,South,Texas,Houston,Men Athletic Footwear,Outlet,50.00,775,38750,2%,775.00
West Gear,1128299,03-11-2020,November,South,Texas,Houston, Women Street Footwear,Outlet,50.00,775,38750,4%,1356.25
West Gear,1128299,04-11-2020,November,South,Texas,Houston, Women Athletic Footwear,Outlet,50.00,625,31250,3%,937.50
West Gear,1128299,05-11-2020,November,West,California,San Francisco,Men Apparel,Outlet,55.00,575,31625,5%,1581.25
West Gear,1128299,06-11-2020,November,West,California,San Francisco, Women Apparel,Outlet,50.00,775,38750,2%,581.25
West Gear,1128299,07-11-2020,November,West,California,San Francisco,Men Street Footwear,Outlet,40.00,825,33000,4%,1155.00
West Gear,1128299,08-11-2020,November,West,California,San Francisco,Men Athletic Footwear,Outlet,50.00,725,36250,2%,725.00
West Gear,1128299,09-11-2020,November,West,California,San Francisco, Women Street Footwear,Outlet,50.00,725,36250,4%,1268.75
West Gear,1128299,10-11-2020,November,West,California,San Francisco, Women Athletic Footwear,Outlet,50.00,575,28750,3%,862.50
West Gear,1128299,11-11-2020,November,West,California,San Francisco,Men Apparel,Outlet,55.00,500,27500,5%,1375.00
West Gear,1128299,12-11-2020,November,West,California,San Francisco, Women Apparel,Outlet,50.00,700,35000,2%,525.00
West Gear,1128299,13-11-2020,November,West,California,San Francisco,Men Street Footwear,Outlet,50.00,850,42500,4%,1487.50
West Gear,1128299,14-11-2020,November,West,California,San Francisco,Men Athletic Footwear,Outlet,60.00,700,42000,2%,840.00
West Gear,1128299,15-11-2020,November,West,California,San Francisco, Women Street Footwear,Outlet,60.00,700,42000,4%,1470.00
West Gear,1128299,22-12-2020,December,West,California,San Francisco, Women Athletic Footwear,Outlet,60.00,600,36000,3%,1080.00
West Gear,1128299,23-12-2020,December,West,California,San Francisco,Men Apparel,Outlet,65.00,500,32500,5%,1625.00
West Gear,1128299,24-12-2020,December,West,California,San Francisco, Women Apparel,Outlet,60.00,700,42000,2%,630.00
West Gear,1128299,25-12-2020,December,West,California,San Francisco,Men Street Footwear,Outlet,60.00,875,52500,4%,1837.50
West Gear,1128299,26-12-2020,December,West,California,San Francisco,Men Athletic Footwear,Outlet,65.00,675,43875,2%,877.50
West Gear,1128299,27-12-2020,December,West,California,San Francisco, Women Street Footwear,Outlet,65.00,725,47125,4%,1649.38
West Gear,1128299,28-12-2020,December,West,California,San Francisco, Women Athletic Footwear,Outlet,60.00,625,37500,3%,1125.00
West Gear,1128299,29-12-2020,December,West,California,San Francisco,Men Apparel,Outlet,65.00,525,34125,5%,1706.25
West Gear,1128299,30-12-2020,December,West,California,San Francisco, Women Apparel,Outlet,80.00,700,56000,2%,840.00
West Gear,1128299,31-12-2020,December,West,California,San Francisco,Men Street Footwear,Outlet,60.00,900,54000,4%,2160.00
West Gear,1128299,01-01-2021,January,West,California,San Francisco,Men Athletic Footwear,Outlet,65.00,750,48750,3%,1218.75
West Gear,1128299,02-01-2021,January,West,California,San Francisco, Women Street Footwear,Outlet,65.00,750,48750,4%,1950.00
West Gear,1128299,03-01-2021,January,West,California,San Francisco, Women Athletic Footwear,Outlet,60.00,650,39000,4%,1365.00
West Gear,1128299,04-01-2021,January,West,California,San Francisco,Men Apparel,Outlet,65.00,550,35750,6%,1966.25
West Gear,1128299,05-01-2021,January,West,California,San Francisco, Women Apparel,Outlet,80.00,725,58000,2%,1160.00
West Gear,1128299,06-01-2021,January,West,California,San Francisco,Men Street Footwear,Outlet,60.00,975,58500,4%,2340.00
West Gear,1128299,07-01-2021,January,West,California,San Francisco,Men Athletic Footwear,Outlet,65.00,825,53625,3%,1340.63
West Gear,1128299,08-01-2021,January,West,California,San Francisco, Women Street Footwear,Outlet,65.00,825,53625,4%,2145.00
West Gear,1128299,09-01-2021,January,West,California,San Francisco, Women Athletic Footwear,Outlet,60.00,700,42000,4%,1470.00
West Gear,1128299,10-01-2021,January,West,California,San Francisco,Men Apparel,Outlet,65.00,575,37375,6%,2055.63
West Gear,1128299,11-01-2021,January,West,California,San Francisco, Women Apparel,Outlet,80.00,875,70000,2%,1400.00
West Gear,1128299,12-01-2021,January,West,California,San Francisco,Men Street Footwear,Outlet,60.00,1025,61500,4%,2152.50
West Gear,1128299,13-01-2021,January,West,California,San Francisco,Men Athletic Footwear,Outlet,65.00,875,56875,2%,1137.50
West Gear,1128299,14-01-2021,January,West,California,San Francisco, Women Street Footwear,Outlet,65.00,825,53625,4%,1876.88
West Gear,1128299,15-01-2021,January,West,California,San Francisco, Women Athletic Footwear,Outlet,60.00,725,43500,3%,1305.00
West Gear,1128299,16-01-2021,January,West,California,San Francisco,Men Apparel,Outlet,65.00,775,50375,5%,2518.75
West Gear,1128299,17-01-2021,January,West,California,San Francisco, Women Apparel,Outlet,80.00,775,62000,2%,930.00
West Gear,1128299,18-01-2021,January,West,California,San Francisco,Men Street Footwear,Outlet,65.00,975,63375,4%,2218.13
West Gear,1128299,19-01-2021,January,West,California,San Francisco,Men Athletic Footwear,Outlet,70.00,925,64750,2%,1295.00
West Gear,1128299,20-01-2021,January,West,California,San Francisco, Women Street Footwear,Outlet,65.00,800,52000,4%,1820.00
West Gear,1128299,21-01-2021,January,West,California,San Francisco, Women Athletic Footwear,Outlet,65.00,750,48750,3%,1462.50
West Gear,1128299,22-01-2021,January,West,California,San Francisco,Men Apparel,Outlet,75.00,750,56250,5%,2812.50
West Gear,1128299,23-01-2021,January,West,California,San Francisco, Women Apparel,Outlet,80.00,725,58000,2%,870.00
West Gear,1128299,24-01-2021,January,West,California,San Francisco,Men Street Footwear,Outlet,55.00,925,50875,3%,1526.25
West Gear,1128299,25-01-2021,January,West,California,San Francisco,Men Athletic Footwear,Outlet,60.00,925,55500,2%,832.50
West Gear,1128299,26-01-2021,January,West,California,San Francisco, Women Street Footwear,Outlet,55.00,775,42625,3%,1278.75
West Gear,1128299,27-01-2021,January,West,California,San Francisco, Women Athletic Footwear,Outlet,55.00,725,39875,3%,996.88
West Gear,1128299,28-01-2021,January,West,California,San Francisco,Men Apparel,Outlet,65.00,725,47125,5%,2120.63
West Gear,1128299,29-01-2021,January,West,California,San Francisco, Women Apparel,Outlet,70.00,775,54250,1%,542.50
West Gear,1128299,30-01-2021,January,West,California,San Francisco,Men Street Footwear,Outlet,55.00,875,48125,3%,1443.75
West Gear,1128299,31-01-2021,January,West,California,San Francisco,Men Athletic Footwear,Outlet,60.00,875,52500,2%,787.50
West Gear,1128299,01-02-2021,February,West,California,San Francisco, Women Street Footwear,Outlet,55.00,700,38500,3%,1155.00
West Gear,1128299,02-02-2021,February,West,California,San Francisco, Women Athletic Footwear,Outlet,55.00,675,37125,3%,928.13
West Gear,1128299,03-02-2021,February,West,California,San Francisco,Men Apparel,Outlet,65.00,650,42250,5%,1901.25
West Gear,1128299,04-02-2021,February,West,California,San Francisco, Women Apparel,Outlet,70.00,700,49000,1%,490.00
West Gear,1128299,05-02-2021,February,West,California,San Francisco,Men Street Footwear,Outlet,55.00,875,48125,3%,1443.75
West Gear,1128299,06-02-2021,February,West,California,San Francisco,Men Athletic Footwear,Outlet,60.00,875,52500,2%,787.50
West Gear,1128299,07-02-2021,February,West,California,San Francisco, Women Street Footwear,Outlet,55.00,725,39875,3%,1196.25
West Gear,1128299,08-02-2021,February,West,California,San Francisco, Women Athletic Footwear,Outlet,55.00,700,38500,3%,962.50
West Gear,1128299,09-02-2021,February,West,California,San Francisco,Men Apparel,Outlet,65.00,650,42250,5%,1901.25
West Gear,1128299,10-02-2021,February,West,California,San Francisco, Women Apparel,Outlet,70.00,775,54250,1%,542.50
West Gear,1128299,11-02-2021,February,West,California,San Francisco,Men Street Footwear,Outlet,55.00,975,53625,3%,1608.75
West Gear,1128299,12-02-2021,February,West,California,San Francisco,Men Athletic Footwear,Outlet,60.00,975,58500,2%,877.50
West Gear,1128299,13-02-2021,February,West,California,San Francisco, Women Street Footwear,Outlet,55.00,775,42625,3%,1278.75
West Gear,1128299,14-02-2021,February,West,California,San Francisco, Women Athletic Footwear,Outlet,55.00,775,42625,3%,1065.63
West Gear,1128299,15-02-2021,February,West,California,San Francisco,Men Apparel,Outlet,65.00,700,45500,5%,2047.50
West Gear,1128299,16-02-2021,February,West,California,San Francisco, Women Apparel,Outlet,70.00,800,56000,1%,560.00
Kohl's,1189833,17-02-2021,February,West,California,San Francisco,Men Street Footwear,Outlet,35.00,700,24500,4%,980.00
Kohl's,1189833,18-02-2021,February,West,California,San Francisco,Men Athletic Footwear,Outlet,45.00,700,31500,3%,787.50
Kohl's,1189833,09-03-2021,March,West,California,San Francisco, Women Street Footwear,Outlet,45.00,700,31500,4%,1260.00
Kohl's,1189833,10-03-2021,March,West,California,San Francisco, Women Athletic Footwear,Outlet,45.00,550,24750,4%,866.25
Kohl's,1189833,11-03-2021,March,West,California,Los Angeles,Men Apparel,Outlet,50.00,500,25000,6%,1375.00
Kohl's,1189833,12-03-2021,March,West,California,Los Angeles, Women Apparel,Outlet,45.00,700,31500,2%,630.00
Kohl's,1189833,13-03-2021,March,West,California,Los Angeles,Men Street Footwear,Outlet,35.00,750,26250,4%,1050.00
Kohl's,1189833,14-03-2021,March,West,California,Los Angeles,Men Athletic Footwear,Outlet,45.00,650,29250,3%,731.25
Kohl's,1189833,15-03-2021,March,West,California,Los Angeles, Women Street Footwear,Outlet,45.00,675,30375,4%,1215.00
Kohl's,1189833,16-03-2021,March,West,California,Los Angeles, Women Athletic Footwear,Outlet,45.00,525,23625,4%,826.88
Kohl's,1189833,17-03-2021,March,West,California,Los Angeles,Men Apparel,Outlet,50.00,450,22500,6%,1237.50
Kohl's,1189833,18-03-2021,March,West,California,Los Angeles, Women Apparel,Outlet,45.00,650,29250,2%,585.00
Kohl's,1189833,19-03-2021,March,West,California,Los Angeles,Men Street Footwear,Outlet,35.00,800,28000,4%,1120.00
Kohl's,1189833,20-03-2021,March,West,California,Los Angeles,Men Athletic Footwear,Outlet,45.00,650,29250,3%,731.25
Kohl's,1189833,21-03-2021,March,West,California,Los Angeles, Women Street Footwear,Outlet,45.00,650,29250,4%,1170.00
Kohl's,1189833,22-03-2021,March,West,California,Los Angeles, Women Athletic Footwear,Outlet,45.00,550,24750,4%,866.25
Kohl's,1189833,23-03-2021,March,West,California,Los Angeles,Men Apparel,Outlet,50.00,425,21250,6%,1168.75
Kohl's,1189833,06-04-2021,April,West,California,Los Angeles, Women Apparel,Outlet,45.00,625,28125,2%,562.50
Kohl's,1189833,07-04-2021,April,West,California,Los Angeles,Men Street Footwear,Outlet,45.00,800,36000,4%,1440.00
